,T_obs,T_near_future,T_long_term
438,291.19046,298.1258,307.7489
439,292.1409,296.33612,300.99216
440,291.9899,297.99908,296.6214
441,294.42844,298.57245,297.30865
442,295.19644,297.12408,299.61307
443,291.0525,296.8921,301.77863
444,291.1123,297.11743,303.26505
445,293.6592,295.28738,304.03467
446,294.6197,294.44186,301.49835
447,295.0851,296.03802,295.54352
448,296.3411,297.46698,297.3959
449,298.52975,298.75665,301.2298
450,299.00052,297.9527,303.50412
451,301.1862,296.59537,301.8742
452,298.35742,298.81528,301.58722
453,298.57178,302.04132,301.79214
454,300.1878,298.51147,301.30957
455,300.62424,293.99426,304.06573
456,297.53018,296.4327,304.70905
457,294.12997,298.99298,306.2264
458,296.05508,300.83844,308.36908
459,297.7078,301.68585,309.5351
460,299.75436,303.34482,306.73376
461,301.19388,303.75043,303.71906
462,301.41238,301.32547,299.74347
463,300.32278,298.03293,303.3269
464,298.5712,297.8997,307.07822
465,296.1676,299.83563,307.49008
466,294.9152,301.06735,304.80582
467,296.13388,300.43594,303.39667
468,297.741,298.95166,304.1989
469,298.46048,299.01053,303.93066
470,299.20242,299.4362,304.57538
471,299.18646,299.93185,305.33746
472,294.71683,298.49356,301.79553
473,294.01572,300.1447,304.18478
474,295.05728,302.519,307.6669
475,296.51993,299.56555,309.6731
476,297.4076,298.41742,307.2303
477,293.0392,298.3393,300.9348
478,293.28674,298.6997,300.23114
479,293.62427,300.4404,305.5761
480,294.5522,301.60196,302.23248
481,295.18402,302.0114,294.03003
482,294.87906,302.243,294.96002
483,295.62814,299.676,298.3593
484,296.60522,299.43155,300.61966
485,297.50528,299.74603,300.36066
486,297.96542,300.64008,299.87994
487,299.27585,300.4372,296.29022
488,300.6177,299.2091,295.8559
489,297.4307,300.5175,298.48645
490,297.00256,302.6447,301.10498
491,298.3959,301.32733,302.47845
492,296.7728,302.18036,301.16666
493,294.23834,303.55698,301.90613
494,294.03937,304.5129,304.37546
495,295.9639,304.35208,306.94977
496,297.23886,305.40817,307.42612
497,297.31107,305.56195,303.77158
